,,,,,,,,,,,,,,,,,,,
Category,,Tên Sản phẩm ,Tên tiếng Anh ,Xuất hiện ở Trang chủ ,Flag ,Tag line ,Giá gốc ,Giá khuyến mãi ,% khuyến mãi ,Tiết kiệm ,Dung tích,Quà tặng,Mô tả sản phẩm ,Thành phần ,Giấy kiểm nghiệm ,Hướng dẫn sử dụng ,Chính sách giao hàng ,Review sản phẩm,Link ảnh sản phẩm 
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Mật ong lên men Gừng Quất Muối ,,có,Bán chạy nhất,,255000,,,,500ml,,"Mật Ong lên men Gừng Quất Muối là sự kết hợp hài hòa giữa vị ngọt dịu của mật ong, vị ấm nồng của gừng tươi, vị thanh chua từ quất và chút mặn nhẹ từ muối tự nhiên. Được làm hoàn toàn từ nguyên liệu thiên nhiên, sản phẩm mang đến giải pháp chăm sóc cổ họng và đường hô hấp theo cách lành tính, dễ dùng hằng ngày cho cả gia đình.

🌿 Thành phần tự nhiên, lành tính
Mật ong nguyên chất: Giúp làm dịu cổ họng và bổ sung dưỡng chất tự nhiên
Củ gừng tươi: Mang tính ấm, giúp cơ thể dễ chịu hơn trong thời tiết lạnh
Quả quất: Giàu vitamin tự nhiên, hỗ trợ tăng cường sức đề kháng
Muối hạt tự nhiên: Giúp làm dịu và hỗ trợ làm sạch vùng họng

👉 Không chất bảo quản – không hương liệu tổng hợp – không hóa chất độc hại

💛 Công dụng nổi bật
- Hỗ trợ làm dịu cổ họng khô rát
- Giúp giảm cảm giác khó chịu khi ho hoặc thay đổi thời tiết
- Hỗ trợ giữ ấm cơ thể và đường hô hấp
- Giúp cổ họng thông thoáng, dễ chịu hơn
- Hỗ trợ tăng cường sức đề kháng tự nhiên cho cơ thể

🌱 Phù hợp với
- Người thường xuyên nói nhiều hoặc làm việc trong môi trường lạnh
- Người dễ khô họng khi thay đổi thời tiết
- Người cần bổ sung chất dinh dưỡng 
- Sử dụng như 1 vị thuốc trong gia đình trong các trường hợp sốt, cảm, mệt mỏi 

Không dùng cho trẻ em dưới 1 tuổi ","Mật ong lên men, Gừng, Quất, Muối hạt ",,"🍵 Pha nước ấm
Pha 1–2 muỗng cùng nước ấm
Uống từ từ để làm dịu cổ họng và giữ ấm cơ thể

👉 Thích hợp dùng vào buổi sáng hoặc tối trước khi ngủ

🍯 Ngậm trực tiếp
- Dùng trực tiếp 1 muỗng nhỏ
- Có thể ngậm chậm để hỗn hợp đi qua cổ họng, giúp làm dịu họng tốt hơn
🌿 Sử dụng khi nào?
- Khi cổ họng khô rát, khó chịu
- Khi thời tiết lạnh hoặc thay đổi thất thường
- Khi cần giữ ấm cơ thể và hỗ trợ đường hô hấp
⚠️ Lưu ý
- Không pha với nước quá nóng để giữ dưỡng chất tự nhiên
- Bảo quản nơi khô ráo hoặc ngăn mát tủ lạnh sau khi mở nắp
- Không dùng cho trẻ dưới 1 tuổi

🍯 Một hũ mật ong gừng quất muối không chỉ là sản phẩm chăm sóc sức khỏe, mà còn là cảm giác ấm áp quen thuộc như những bài thuốc dịu lành từ căn bếp của gia đình",,,https://drive.google.com/drive/folders/1K8r-ojmpLJMv4QgWBYPyEiBPiEHvH0LD?usp=drive_link
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cốt nghệ Mật Ong lên men ,,có,Bán chạy nhất,,295000,,,,500ml,,"Cốt Nghệ Mật Ong Lên Men là sự kết hợp giữa nghệ tự nhiên giàu curcumin và mật ong nguyên chất, được ủ lên men theo phương pháp truyền thống nhằm tăng khả năng hấp thụ và làm dịu vị hăng của nghệ. Sản phẩm hướng đến cơ chế chăm sóc cơ thể từ gốc — hỗ trợ tiêu hóa, làm đẹp da và nuôi dưỡng sức khỏe một cách tự nhiên, lành tính.

✨ Thành phần nổi bật
Nước cốt nghệ đỏ: Giàu curcumin, hỗ trợ chống oxy hóa và giúp cơ thể thanh lọc tự nhiên
Mật ong lên men: Bổ sung dưỡng chất, hỗ trợ làm dịu và cân bằng hệ tiêu hóa
Quá trình lên men tự nhiên: Giúp dưỡng chất dễ hấp thụ hơn và tạo hệ enzyme có lợi cho cơ thể
💛 Công dụng nổi bật
- Cải thiện hệ vi sinh đường ruột 
- Hỗ trợ làm đẹp da từ bên trong
- Giúp cơ thể chống oxy hóa và giảm cảm giác mệt mỏi
- Hỗ trợ tiêu hóa và làm dịu dạ dày
- Giúp cơ thể hấp thụ dưỡng chất tốt hơn
- Hỗ trợ cải thiện làn da xỉn màu, thiếu sức sống

Phù hợp với người: 
- Mắc các chứng bệnh trào ngược dạ dày, đau dạ dày
- Người tiêu hóa kém, táo bón, đầy hơi, ợ hơi ợ chua
- Người cần detox, người bia rượu nhiều cần thải độc gan
- Người già bị các vấn đề về xương khớp, tiểu đường, mỡ gan, mỡ máu 

Lưu ý: Không sử dụng cho trẻ em dưới 2 tuổi ","Mật ong lên men, Nghệ đỏ",,"🍯 Cách dùng hằng ngày
Pha 15–20ml Cốt Nghệ Mật Ong với khoảng 200ml nước ấm 40–50°C
Khuấy đều và uống từ từ

👉 Nên sử dụng 2 lần/ngày vào buổi sáng và buổi tối
👉 Uống trước bữa ăn khoảng 30 phút để cơ thể hấp thụ tốt hơn

🌿 Có thể sử dụng ngoài da
Dùng một lượng nhỏ bôi trực tiếp lên vùng da có:
Vết thương nhỏ
Da trầy xước nhẹ
Vùng bỏng nhẹ hoặc da cần làm dịu

👉 Nên làm sạch vùng da trước khi sử dụng

⏳ Hạn sử dụng
24 tháng kể từ ngày sản xuất
📦 Bảo quản
- Bảo quản nơi khô ráo, thoáng mát
- Tránh ánh nắng trực tiếp
- Có thể bảo quản lạnh để giữ độ tươi ngon và hương vị dễ dùng hơn

⚠️ Lưu ý
- Không dùng cho:
- Người dị ứng với mật ong hoặc nghệ
- Trẻ em dưới 2 tuổi
- ,Không pha với nước quá nóng để giữ enzyme và dưỡng chất tự nhiên của sản phẩm

💛 Kiên trì sử dụng đều đặn mỗi ngày là cách nhẹ nhàng để cơ thể được nuôi dưỡng, phục hồi và khỏe hơn từ bên trong",,,https://drive.google.com/drive/folders/14WDJRwivwQoPB-1AWimZSMz6maZuylbq?usp=drive_link
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc da,Bột cánh hoa hồng ,,,,,168000,,,,25gr,,"Bột cánh hoa hồng được nghiền mịn từ những cánh hoa hồng tự nhiên, giữ lại hương thơm dịu nhẹ cùng các dưỡng chất thực vật quý giá. Đây là nguyên liệu chăm sóc da truyền thống giúp làm dịu, cấp ẩm và mang lại vẻ tươi tắn cho làn da theo cách nhẹ nhàng, lành tính.

✨ Công dụng nổi bật
- Hỗ trợ làm dịu da nhạy cảm, da mệt mỏi
- Giúp da mềm mại và giữ độ ẩm tự nhiên
- Hỗ trợ làm sáng và cải thiện làn da xỉn màu
- Giúp da thư giãn và tươi tắn hơn
- Mang lại hương thơm hoa hồng tự nhiên dễ chịu

🌱 Phù hợp với
- Da khô, da thiếu nước
- Da nhạy cảm cần chăm sóc dịu nhẹ
- Da xỉn màu, thiếu sức sống",,,"💧 Cách sử dụng Bột cánh hoa hồng
🌸 Làm mặt nạ dưỡng da
- Trộn bột với nước lọc, nước hoa hồng, sữa chua hoặc mật ong để tạo hỗn hợp sệt
- Thoa đều lên mặt sạch
- Thư giãn 10–15 phút rồi rửa lại với nước

👉 Giúp da mềm mại, sáng và ẩm mịn hơn

🌸 Tẩy da chết dịu nhẹ
- Trộn cùng sữa tươi hoặc mật ong
- Massage nhẹ nhàng theo chuyển động tròn 1–2 phút
- Rửa sạch với nước

👉 Giúp làm sạch lớp da chết mà không gây khô căng

🌸 Xông mặt hoặc ngâm tắm
- Pha bột vào nước ấm để xông mặt hoặc ngâm cơ thể
- Hương hoa hồng tự nhiên giúp thư giãn và làm dịu tinh thần

✨ Tips sử dụng hiệu quả hơn
Kết hợp cùng mật ong hoặc dầu dưỡng để tăng khả năng cấp ẩm
Dùng 2–3 lần/tuần để da được nuôi dưỡng đều đặn
Bảo quản nơi khô ráo, tránh ánh nắng trực tiếp",,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Trà Hoa cúc cổ ,,,,,168000,,,,30gr,,"Trà Hoa Cúc Cổ được làm từ những bông cúc cổ tự nhiên sấy khô, giữ trọn sắc vàng dịu cùng hương thơm thanh mát đặc trưng. Với vị trà nhẹ nhàng, dễ uống, đây không chỉ là một thức uống thảo mộc mà còn là khoảng thời gian để cơ thể được thư giãn và tái tạo năng lượng sau những ngày mệt mỏi.

✨ Thành phần nổi bật
Hoa cúc cổ tự nhiên: Giàu hoạt chất thực vật và hương thơm tự nhiên giúp cơ thể cảm thấy thư thái, dễ chịu hơn

💛 Công dụng nổi bật
- Giúp thư giãn tinh thần và giảm cảm giác căng thẳng
- Hỗ trợ cơ thể cảm thấy nhẹ nhàng, dễ chịu hơn
- Giúp làm dịu và cân bằng cơ thể sau một ngày dài
- Hỗ trợ giấc ngủ sâu và thư thái hơn
- Hỗ trợ làm đẹp da từ bên trong nhờ chất chống oxy hóa tự nhiên
🌱 Phù hợp với
- Người thường xuyên căng thẳng, khó thư giãn
- Người ngủ không sâu giấc hoặc dễ mệt mỏi
- Người yêu thích trà thảo mộc nhẹ nhàng mỗi ngày
- Người theo đuổi lối sống chậm và chăm sóc cơ thể tự nhiên
✨ Điểm khác biệt

Không hương liệu tổng hợp, không vị đắng gắt, Trà Hoa Cúc Cổ mang hương thơm rất thanh và dịu — tạo cảm giác như được thả lỏng giữa một khu vườn hoa cúc yên bình.",,,"🌼 Pha trà nóng
Cho 3–5 bông hoa cúc vào tách hoặc bình
Rót nước nóng khoảng 80–90°C
Ủ trà trong 3–5 phút để hoa nở và tiết hương thơm
Thưởng thức khi còn ấm

👉 Có thể kết hợp cùng mật ong, táo đỏ hoặc kỷ tử để tăng hương vị và cảm giác thư giãn

❄️ Pha trà lạnh
Pha trà đậm hơn bình thường
Để nguội rồi thêm đá dùng như trà thanh mát mỗi ngày
✨ Nên sử dụng khi nào?
Buổi tối trước khi ngủ để thư giãn tinh thần
Sau giờ làm việc căng thẳng
Khi cần một khoảng nghỉ nhẹ nhàng cho cơ thể và tâm trí
⚠️ Lưu ý
Không dùng nước quá sôi để giữ hương thơm tự nhiên của hoa
Bảo quản nơi khô ráo, tránh ẩm và ánh nắng trực tiếp",,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Mật ong nguyên chất ,,,,,158000,,,,500ml,,"Mật ong rừng nguyên chất được thu hoạch tự nhiên từ những đàn ong hút mật giữa rừng hoa hoang dã, giữ trọn hương thơm, màu sắc và dưỡng chất vốn có của mật ong nguyên bản. Không pha tạp, không tinh luyện, từng giọt mật mang theo vị ngọt thanh tự nhiên và nguồn năng lượng dịu lành từ thiên nhiên.

✨ Đặc điểm nổi bật
Mùi thơm tự nhiên đặc trưng của mật ong rừng
Vị ngọt thanh, hậu dịu, không gắt
Màu sắc có thể thay đổi theo mùa hoa tự nhiên
Kết cấu sánh mịn, có thể kết tinh theo nhiệt độ môi trường — dấu hiệu tự nhiên của mật ong nguyên chất
💛 Công dụng nổi bật
Bổ sung năng lượng tự nhiên cho cơ thể
Hỗ trợ làm dịu cổ họng và cơ thể khi mệt mỏi
Hỗ trợ tiêu hóa và cân bằng cơ thể nhẹ nhàng
Giúp làm đẹp da từ bên trong nhờ các chất chống oxy hóa tự nhiên
Có thể dùng trong chăm sóc da và tóc nhờ đặc tính dưỡng ẩm tự nhiên",Mật ong nguyên chất   ,Chứng nhận OCOP 3 sao ,"Cách sử dụng mật ong:

– Sử dụng mật ong trực tiếp

– Pha loãng với nước ấm

– Dùng như gia vị nấu ăn:gà tẩm mật ong, sườn tẩm mật ong xào chua ngọt,…",,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Mật ong Hoa hồng ,,,,,299000,,,,500ml,,"Mật ong rừng nguyên chất được thu hoạch tự nhiên từ những đàn ong hút mật giữa rừng hoa hoang dã, giữ trọn hương thơm, màu sắc và dưỡng chất vốn có của mật ong nguyên bản. Không pha tạp, không tinh luyện, từng giọt mật mang theo vị ngọt thanh tự nhiên và nguồn năng lượng dịu lành từ thiên nhiên.

✨ Đặc điểm nổi bật
Mùi thơm tự nhiên đặc trưng của mật ong rừng
Vị ngọt thanh, hậu dịu, không gắt
Màu sắc có thể thay đổi theo mùa hoa tự nhiên
Kết cấu sánh mịn, có thể kết tinh theo nhiệt độ môi trường — dấu hiệu tự nhiên của mật ong nguyên chất
💛 Công dụng nổi bật
Bổ sung năng lượng tự nhiên cho cơ thể
Hỗ trợ làm dịu cổ họng và cơ thể khi mệt mỏi
Hỗ trợ tiêu hóa và cân bằng cơ thể nhẹ nhàng
Giúp làm đẹp da từ bên trong nhờ các chất chống oxy hóa tự nhiên
Có thể dùng trong chăm sóc da và tóc nhờ đặc tính dưỡng ẩm tự nhiên",Mật ong nguyên chất lên men ,Chứng nhận OCOP 3 sao ,"Cách sử dụng mật ong:

– Sử dụng mật ong trực tiếp

– Pha loãng với nước ấm

– Dùng như gia vị nấu ăn:gà tẩm mật ong, sườn tẩm mật ong xào chua ngọt,…",,,
,, ,,,,,,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Tinh chất ngũ sắc ,,,,,135000,,,,20ml,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cốt gừng quế ,,,,,158000,,,,500ml,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cao lá tre gai ,,,,,550000,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cao bổ phổi ,,,,,550000,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cao bổ huyết ,,,,,550000,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cao thông kinh lạc ,,,,,550000,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Cao bổ thận ,,,,,550000,,,,,,,,,,,,
Sản phẩm dưỡng sinh ,Chăm sóc sức khỏe ,Đường Mật mía thô ,,,,,165000,,,,1kg,,,,,,,,
